cell_line,comparison,gene_set_library,pathway,enrichment_score,normalized_enrichment_score,nominal_p_value,false_discovery_rate,family_wise_error_rate,gene_set_size,matched_genes,leading_edge_genes,direction
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Complement,0.49693188552692436,1.0513156567856927,0.2603550295857988,0.533455243668282,0.956,51/200,6.72%,GATA3;CLU;PDGFB;CSRP1;CTSD;CD59;TIMP2;CD55;LTA4H;CTSB;TIMP1;ANXA5;USP8;JAK2;CTSH;GNAI2;PFN1;CALM1;CD46;KYNU;HSPA1A;SRC;MAFF;DGKH;IRF1;LRP1;LYN;GPD2;GCA;MMP15;RASGRP1;KIF2A;PLSCR1;GNB4;APOC1;LGALS3;DUSP5;KCNIP3;LAP3;LAMP2;CPM;ADAM9;PIM1;CDK5R1;DUSP6;CTSV;F3;PREP;FN1;PCSK9;ADRA2B,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.47773275988964564,1.025936577121936,0.3333333333333333,0.5375371197093234,0.967,67/199,7.20%,BCL2;RHOB;P2RX4;CD81;IGF1R;GSTO1;NCOA3;BMPR2;XBP1;IFITM3;MYC;RNH1;ALCAM;CYFIP1;HIPK2;SNX14;POU2F1;SLC29A2;FAH;SOCS2;MAFF;COL6A1;P4HA1;NRP1;ITGAV;MXD1;SLC1A5;MAPKAPK2;SNX9;SLC2A3;SPRED2;NFKBIZ;ST3GAL4;CAPG;AHR;PHLDA1;SMPDL3A;CISH;TNFRSF18;RRAGD;APLP1;PRNP;CCND3;PLSCR1;COCH;MAP3K8;PRAF2;AGER;IL4R;FURIN;PDCD2L;PIM1;PHTF2;SLC39A8;SOCS1;CDC6;TTC39B;DENND5A;ENPP1;RORA;NT5E;PLAGL1;ADAM19;PTH1R;IKZF4;UCK2;CSF1,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Allograft Rejection,0.47385484432396796,1.0299476089384567,0.36470588235294116,0.548546634859152,0.965,36/200,6.36%,NPM1;CD47;TAPBP;ST8SIA4;DARS1;EIF3D;TIMP1;B2M;JAK2;STAT1;RPS3A;EIF4G3;HIF1A;RPL39;RARS1;TGFB1;DEGS1;HLA-E;NME1;ABCE1;FLNA;LYN;MRPL3;CAPG;AKT1;TAP2;CCND3;EIF5A;ELF4;IL4R;MAP3K7;IL27RA;ITGB2;IL11;ICAM1;SOCS1,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Apical Surface,0.5863305249498163,0.9992678900886626,0.43790849673202614,0.5950595836762061,0.979,10/44,3.24%,GATA3;FLOT2;APP;SULF2;GSTM3;ADIPOR2;HSPB1;ATP8B1;LYN;AFAP1L2,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.44613132997827987,0.9495732666224641,0.5620915032679739,0.6471484016609232,0.993,78/200,4.76%,COX6C;VDAC1;GPI;IDH2;UQCRC2;SLC25A3;ATP5F1C;SLC25A5;LDHA;CYC1;UQCRC1;UQCRB;PHB2;PDHA1;ACADVL;SDHC;ATP5F1A;ATP5MG;CS;ATP5F1E;ATP5MC1;SLC25A11;NDUFAB1;SUCLG1;ATP5F1B;MDH1;CYCS;AFG3L2;NDUFS1;NDUFB5;SDHB;COX7B;ATP5PF;ATP6V1E1;NDUFB8;SLC25A6;DLAT;FH;NDUFA1;TCIRG1;IDH3B;ACADM;ECHS1;ACAA2;IDH3A;NDUFB4;PMPCA;NDUFV2;IDH3G;ACAT1;VDAC2;ACADSB;OXA1L;CYB5R3;NDUFA9;IMMT;ATP5PD;RHOT2;PHYH;NDUFB6;ACO2;TIMM10;COX17;PDK4;HSD17B10;ATP5ME;DLST;ATP5MC3;ALDH6A1;GOT2;NDUFB2;NNT;BCKDHA;UQCRQ;ATP6V1G1;ATP6V0B;HCCS;COX7A2,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Bile Acid Metabolism,0.48271598996473714,0.9558827483229536,0.5161290322580645,0.6479447223709819,0.992,23/112,4.56%,FADS1;ISOC1;IDH2;IDI1;RXRA;PFKM;DHCR24;SOD1;SLC29A1;SULT2B1;HACL1;ABCA2;FADS2;ABCD1;GSTK1;ABCD3;APOA1;ACSL1;PHYH;SLC22A18;PECR;BCAR3;EFHC1,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.44731264382902214,0.9586890066032463,0.5287958115183246,0.6628468095049426,0.992,52/200,5.01%,ELOVL5;ESR1;PTGES;TMBIM6;FBP1;MTHFD1;HPRT1;DHPS;GSTO1;ARPP19;IGFBP4;ATP2A2;DDAH2;PEMT;JUP;BLVRB;MT2A;HACL1;ACP1;SLC6A6;PGD;BPHL;MAN1A1;KYNU;FAH;GSTM4;MCCC2;SSR3;CYFIP2;ASL;ETS2;PDLIM5;DHRS7;PTGES3;PAPSS2;MARCHF6;SLC1A5;GCH1;SMOX;GSS;PYCR1;ACO2;IL1R1;PDK4;ADH5;MPP2;DCXR;ABCC2;CNDP2;DHRS1;SLC46A3;APOE,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Adipogenesis,0.43733417649103373,0.9394439446993593,0.6647727272727273,0.6649538264606382,0.996,80/199,6.55%,SLC25A1;HSPB8;ELOVL6;CYC1;UQCRC1;CHCHD10;TALDO1;TKT;SLC66A3;DHCR7;SDHC;MTCH2;CS;PEMT;RAB34;SOD1;PTCD3;ACLY;NDUFAB1;SUCLG1;PIM3;ADIPOR2;SULT1A1;SDHB;SLC5A6;COX7B;UBC;VEGFB;DLAT;FAH;RMDN3;ACADM;REEP6;ECHS1;ACAA2;IDH3A;ESRRA;APLP2;ALDOA;DHRS7;JAGN1;IDH3G;SCARB1;MGLL;PFKL;IMMT;SLC1A5;REEP5;FZD4;PFKFB3;AK2;PHYH;GPD2;ACO2;RNF11;PREB;ATP1B3;CMPK1;SNCG;BCKDHA;UQCRQ;AGPAT3;BAZ2A;MCCC1;APOE;GPHN;LTC4S;SOWAHC;ATP5PO;SQOR;DRAM2;GPX3;NMT1;PGM1;LIFR;MIGA2;DGAT1;CRAT;SAMM50;HADH,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Myogenesis,0.4441905059136225,0.9589716353643252,0.5357142857142857,0.6865474289813689,0.992,52/200,6.74%,CLU;SCD;HSPB8;CKB;FDPS;PFKM;EIF4A2;TPM3;APP;SVIL;COL6A2;PTP4A3;SGCG;STC2;PDLIM7;TGFB1;REEP1;SLC6A8;GAA;BDKRB2;CAMK2B;BAG1;TPD52L1;LPIN1;LARGE1;ACSL1;ITGB4;RB1;FLII;COL1A1;AGL;SORBS3;KCNH2;SPEG;TEAD4;KIFC3;TPM2;PRNP;ITGB5;MYL6B;GSN;IGFBP3;ADCY9;PPFIA4;GPX3;MAPK12;VIPR1;CRAT;FHL1;AK1;MAPRE3;AGRN,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.4434014036172997,0.9617771697263138,0.5659340659340659,0.7025692603090427,0.992,69/200,6.59%,FOS;CCND1;IRS2;RHOB;LDLR;JUN;DUSP2;DUSP1;EGR3;JUNB;SOCS3;FOSB;ZBTB10;ACKR3;ATF3;IER2;MYC;SMAD3;ZFP36;NR4A1;EGR1;KLF4;CCNL1;PMEPA1;DUSP4;YRDC;VEGFA;ZC3H12A;B4GALT5;PHLDA2;KYNU;CCN1;ETS2;PDLIM5;MAFF;DRAM1;FJX1;EGR2;IRF1;MXD1;GCH1;PFKFB3;SLC2A3;NR4A2;MARCKS;CEBPD;PHLDA1;NFKB2;BTG1;IER3;AREG;PTPRE;NFAT5;DUSP5;MAP3K8;SLC16A6;BTG3;TNFAIP2;TNIP1;DDX58;FUT4;LITAF;ICAM1;NR4A3;F3;PLPP3;SLC2A6;DENND5A;SGK1,positive
