cell_line,trajectory_bin,cells,mean_pseudotime,tis_fraction,repop_fraction,ctr_fraction,mean__pathway__e2f_targets,median__pathway__e2f_targets,mean__pathway__g2_m_checkpoint,median__pathway__g2_m_checkpoint,mean__pathway__myc_targets_v1,median__pathway__myc_targets_v1,mean__pathway__processing_of_capped_intron_containing_pre_mrna_r_hsa_72203,median__pathway__processing_of_capped_intron_containing_pre_mrna_r_hsa_72203,mean__pathway__mrna_splicing_major_pathway_r_hsa_72163,median__pathway__mrna_splicing_major_pathway_r_hsa_72163,mean__pathway__mrna_splicing_r_hsa_72172,median__pathway__mrna_splicing_r_hsa_72172,mean__pathway__mitochondrial_translation_termination_r_hsa_5419276,median__pathway__mitochondrial_translation_termination_r_hsa_5419276,mean__pathway__mitochondrial_translation_elongation_r_hsa_5389840,median__pathway__mitochondrial_translation_elongation_r_hsa_5389840,mean__pathway__mitochondrial_translation_initiation_r_hsa_5368286,median__pathway__mitochondrial_translation_initiation_r_hsa_5368286,mean__pathway__mitochondrial_translation_r_hsa_5368287,median__pathway__mitochondrial_translation_r_hsa_5368287,mean__regulator__E2F1,median__regulator__E2F1,mean__regulator__FOS,median__regulator__FOS,mean__regulator__TP53,median__regulator__TP53,mean__regulator__JUN,median__regulator__JUN,mean__regulator__STAT3,median__regulator__STAT3,mean__regulator__MYC,median__regulator__MYC,mean__repopulation_associated_potential,median__repopulation_associated_potential,mean__rap_score,median__rap_score
T47D,1,21772,0.011400302965762674,0.9853022230387654,0.010334374425868088,0.004363402535366526,-0.2237936887979392,-0.31322896155800695,-0.20517691941192304,-0.2979031003722644,-0.28031364966307143,-0.28590283434343866,-0.16576487092452882,-0.17266973145681092,-0.16859858133650826,-0.1736037571166672,-0.1651415626083314,-0.1691339697655887,-0.1415649295807454,-0.14521663881266766,-0.14479004843226592,-0.14984366574121785,-0.14364092776928503,-0.14794618814859622,-0.14606996480757575,-0.1498094788954195,-0.08297272907955436,-0.5292936710495966,-0.47715725324157815,-0.9767543609731986,-0.3033687198541583,-0.8127414529371765,0.019512820366817868,0.21223165271263705,0.4259550364693093,0.6450424577925683,-0.5891186953481562,-1.120488807513181,-0.886340466585253,-0.9482759474984099,-0.886340466585253,-0.9482759474984099
T47D,2,1474,0.14411684437039549,0.8554952510176391,0.09769335142469471,0.046811397557666216,-0.08471737702197858,-0.13761425417026546,-0.08358218610102805,-0.1311798558963706,-0.1759849809299052,-0.17762231884892116,-0.11211605508672105,-0.12462126784208105,-0.11533738318135996,-0.11840231640501656,-0.11225368709158576,-0.115480012416237,-0.10907583398170875,-0.11088790317089761,-0.11295356731134379,-0.11474239953937945,-0.11153665967342538,-0.11306794377348145,-0.11436261137491258,-0.11833965676966475,0.12344674688316853,-0.5292936710495966,-0.4500491688662598,-0.9767543609731986,-0.19755701766323244,-0.8127414529371765,-0.208015113591895,-0.178804721591882,0.30581026372440895,0.5619948746463792,-0.5805330183166172,-1.120488807513181,-0.18002780827613676,-0.2649908063847656,-0.18002780827613676,-0.2649908063847656
T47D,3,941,0.24613543017193124,0.7194473963868225,0.1806588735387885,0.09989373007438895,-0.052250972643448884,-0.0559162240675299,-0.05982786090571526,-0.0917246218760881,-0.14380563716450626,-0.1411404565481253,-0.1002869757700768,-0.1022455810197628,-0.10330163217074011,-0.0999973422072838,-0.10074797559639917,-0.0994940207677238,-0.09802880613667271,-0.0974675936693892,-0.10151372793661367,-0.1044444834766965,-0.10041084370911058,-0.1019898045308206,-0.10299145488274274,-0.1020619737261543,0.21888781928976642,-0.5292936710495966,-0.43509956568045965,-0.9767543609731986,-0.2200817345620934,-0.8127414529371765,-0.1998327156915458,-0.149970102917093,0.2672784807638598,0.5059808095980406,-0.5438884175346936,-1.120488807513181,-0.08065027970226891,-0.11304323497394385,-0.08065027970226891,-0.1130432349739438
T47D,4,705,0.3488767781691519,0.601418439716312,0.25390070921985813,0.14468085106382977,-0.019731310781512617,-0.031788990107677,-0.02823637867626585,-0.056212694213071,-0.09876247284334462,-0.0945318696084967,-0.08117412167744653,-0.0882685330202737,-0.0815812200043013,-0.0781754550711382,-0.07894363946226843,-0.0781324531890624,-0.07875843930844151,-0.0756733612438324,-0.08143819724168119,-0.0864463401890105,-0.07895531215020438,-0.0788016702041567,-0.08160068531449885,-0.0809023690051694,0.1694873917364851,-0.5292936710495966,-0.47933556180884157,-0.9767543609731986,-0.15059905515664482,-0.8127414529371765,-0.1991433059887444,-0.1064415262252843,0.24968353391130407,0.4361745218887097,-0.5605296542589471,-1.120488807513181,0.007249335535143565,-0.0679791164421833,0.007249335535143564,-0.0679791164421833
T47D,5,686,0.4514056746987386,0.48542274052478135,0.3323615160349854,0.18221574344023322,-0.007854440184055402,-0.0447203303157727,-0.02234348781122584,-0.06571314576756304,-0.06648901489299303,-0.0639142825064508,-0.05770659675980525,-0.05044570623829215,-0.055752960699567186,-0.043409322740877304,-0.05423853744358003,-0.0407228035851485,-0.0664817782778241,-0.07100231418856685,-0.07008472384020621,-0.0717481908977209,-0.06777584607626622,-0.0712785177833236,-0.07074512623777779,-0.06782036352863566,0.25020545138883454,-0.5292936710495966,-0.4433272928459842,-0.9767543609731986,-0.1472071406333218,-0.8127414529371765,-0.2349944745135535,-0.21260469515853164,0.20698428652259582,0.38183934594926316,-0.4455412635007817,-1.120488807513181,0.0380739661530939,-0.04743818139761255,0.0380739661530939,-0.0474381813976125
T47D,6,705,0.5515989921456543,0.375886524822695,0.3730496453900709,0.251063829787234,-0.00889847433756898,-0.0345305269675763,-0.021786272167896,-0.058663664020595,-0.03827454209539552,-0.021574146080825,-0.05431705766713348,-0.0549565617437026,-0.051058740367379486,-0.0476248069845278,-0.05120239678269878,-0.0476770986765006,-0.05640127733701298,-0.0445711025769893,-0.058582169783563946,-0.0480542107447357,-0.05800585419259408,-0.0503015847560199,-0.05939663762644063,-0.0507499047950584,0.21476336401958165,-0.5292936710495966,-0.46330390635327817,-0.9767543609731986,-0.23466975638881524,-0.8127414529371765,-0.24586177423471783,-0.2955676649604064,0.10659484678972725,0.3274421325369707,-0.48012756551241254,-1.120488807513181,0.07484104119057317,0.006861052847150253,0.07484104119057315,0.0068610528471502
T47D,7,890,0.6510639702454359,0.2640449438202247,0.4370786516853933,0.298876404494382,0.029217777776681678,-0.0089471778326413,0.006525556750720995,-0.048420328922893,0.0068172546942360576,0.018660305376589997,-0.027542410731694278,-0.02326458704907005,-0.027519109249683614,-0.01951073982163795,-0.02725827537996184,-0.0209928150960615,-0.03492071965884815,-0.03663310579654215,-0.03690879528071257,-0.0388458360095996,-0.03660342961523775,-0.03767635901968875,-0.03718912088835896,-0.0386425957943769,0.2444644013346037,-0.5292936710495966,-0.4589246255693324,-0.9767543609731986,-0.10226540540253279,-0.8127414529371765,-0.2578994244831547,-0.2597685742269251,0.16421841859746944,0.28909323788149965,-0.3878482884903112,-0.4878820844584689,0.13904186295145396,0.04087045094571441,0.13904186295145396,0.04087045094571435
T47D,8,1296,0.7541924088672699,0.15432098765432098,0.5478395061728395,0.2978395061728395,0.026045918920917437,-0.00183668475234295,-0.0020844462129102283,-0.044230453375723,0.026208494177788297,0.046142649501178454,-0.0175434492792263,-0.012983462011645401,-0.012842838556987953,-0.00869832982277745,-0.012882944189370093,-0.0070757529410175,-0.025292735541413522,-0.0240033269214164,-0.02778573218812563,-0.02615232840578885,-0.027460736513987324,-0.0233795415732516,-0.028869399493490353,-0.0244557643313477,0.16163926305851595,-0.5292936710495966,-0.45538521254826336,-0.9767543609731986,-0.04633033116015408,-0.8127414529371765,-0.2951461756279207,-0.3473119801522532,0.1668414413266861,0.34241573823989374,-0.35543329010530156,-0.35278363101664933,0.17003425890375326,0.053949788408546605,0.17003425890375326,0.0539497884085466
T47D,9,2319,0.8573297065320533,0.0948684777921518,0.5446313065976714,0.3605002156101768,0.07397667269983081,0.0469996629267344,0.04296359828381941,-0.0101164214087961,0.07010354280481179,0.0864273914744477,0.013177943644636675,0.0202416908530482,0.01772981491872685,0.0276802320984537,0.01694592489763034,0.0255622488884399,0.000765288530643864,0.0084186701544466,-0.0010718230967237553,0.0062048984952363,-0.0006026193511004593,0.0084612376578612,-0.001754051840091695,0.0077348962270796,0.23646353050206959,-0.5292936710495966,-0.4645879961687351,-0.9767543609731986,-0.04635150363825985,-0.8127414529371765,-0.30363199493766496,-0.3355789501201118,0.13988457240021493,0.2857977556260319,-0.3008746686836264,-0.230142255945465,0.2891520186767052,0.16104845579728225,0.2891520186767052,0.1610484557972822
T47D,10,22023,0.9813406391988785,0.010988512010171184,0.6039594968896154,0.38505199110021343,0.23522695383321673,0.2867508282103907,0.1987123021214796,0.2331492661936509,0.17435398583074502,0.1980043845957551,0.0988778225483381,0.1101689363208026,0.10464215997365432,0.117820855933095,0.1031577472780345,0.1156952596566953,0.07490147764826924,0.0858756533020353,0.07322118380106635,0.0843294904050737,0.07277797655779566,0.0839425348438186,0.07205557495473366,0.0833638686087001,0.18959653773511825,-0.5292936710495966,-0.44495912753698197,-0.9767543609731986,-0.0012775391701985326,-0.8127414529371765,-0.4486322039288241,-0.6393850062055274,0.1103332962439948,0.2259982846130566,-0.33872321274828526,-0.2916477565886383,0.8418476091287744,0.8151375617990441,0.8418476091287744,0.8151375617990441
