rank,gene,escape_marker_effect,escape_marker_score,escape_marker_direction,trajectory_correlation,trajectory_score,trajectory_direction,differential_expression_effect,de_cell_lines_supported,de_direction,differential_expression_score,regulatory_effect,regulatory_score,transition_model_effect,transition_model_score,transition_model_direction,signature_score,signature_direction,evidence_source_count,available_evidence_weight,priority_score,evidence_sources
44,SYTL2,,,,,,,-2.9973387,2.0,lower_in_repop,0.41171973253293415,,,,,,1.0,down,2,0.30000000000000004,0.607813155021956,differential_expression;signature
45,GPRC5A,,,,,,,-2.3678554,2.0,lower_in_repop,0.409810267077104,,,,,,1.0,down,2,0.30000000000000004,0.6065401780514027,differential_expression;signature
46,ANXA1,,,,,,,-4.46990205,2.0,lower_in_repop,0.409808087695564,,,,,,1.0,down,2,0.30000000000000004,0.6065387251303759,differential_expression;signature
47,GAS2L3,,,,,,,1.52567625,2.0,higher_in_repop,0.4080120407621071,,,,,,1.0,up,2,0.30000000000000004,0.6053413605080713,differential_expression;signature
48,AURKB,,,,,,,1.86532355,2.0,higher_in_repop,0.40458918273330924,,,,,,1.0,up,2,0.30000000000000004,0.6030594551555394,differential_expression;signature
49,MELK,,,,,,,1.6672402,2.0,higher_in_repop,0.3971359957349894,,,,,,1.0,up,2,0.30000000000000004,0.5980906638233262,differential_expression;signature
50,MACC1,,,,,,,-2.83357155,2.0,lower_in_repop,0.3945452970190536,,,,,,1.0,down,2,0.30000000000000004,0.5963635313460357,differential_expression;signature
51,CIT,,,,,,,1.70393393,2.0,higher_in_repop,0.38686976873107953,,,,,,1.0,up,2,0.30000000000000004,0.5912465124873864,differential_expression;signature
52,ESPL1,,,,,,,1.73990475,2.0,higher_in_repop,0.3789265660833119,,,,,,1.0,up,2,0.30000000000000004,0.5859510440555412,differential_expression;signature
53,BCYRN1,,,,,,,1.593899,2.0,higher_in_repop,0.37773253140762086,,,,,,1.0,up,2,0.30000000000000004,0.5851550209384139,differential_expression;signature
54,NRM,,,,,,,1.9771555,2.0,higher_in_repop,0.3714421951774701,,,,,,1.0,up,2,0.30000000000000004,0.5809614634516467,differential_expression;signature
55,KIF15,,,,,,,1.80824845,2.0,higher_in_repop,0.3706525400304126,,,,,,1.0,up,2,0.30000000000000004,0.5804350266869417,differential_expression;signature
56,KIF2C,,,,,,,1.6042381,2.0,higher_in_repop,0.36745325804504786,,,,,,1.0,up,2,0.30000000000000004,0.5783021720300318,differential_expression;signature
57,H2BC4,,,,,,,-2.1386352,2.0,lower_in_repop,0.3618315266052081,,,,,,1.0,down,2,0.30000000000000004,0.5745543510701387,differential_expression;signature
58,RIPPLY3,,,,,,,1.8562568499999998,2.0,higher_in_repop,0.35686197779534673,,,,,,1.0,up,2,0.30000000000000004,0.5712413185302311,differential_expression;signature
