cell_line,transcription_factor,target_gene,target_direction,tf_target_correlation,absolute_tf_target_correlation,tf_target_p_value,rap_correlation,rap_consistent
T47D,E2F1,H1-3,up,0.37588609178526367,0.37588609178526367,0.0,0.15120628010941786,True
T47D,E2F1,PRC1,up,0.17923364117801097,0.17923364117801097,0.0,0.15120628010941786,True
T47D,E2F1,MKI67,up,0.1358358853415672,0.1358358853415672,6.960001091522003e-216,0.15120628010941786,True
T47D,E2F1,SYCE2,up,0.34186177171057014,0.34186177171057014,0.0,0.15120628010941786,True
T47D,E2F1,TOP2A,up,0.1243636981896206,0.1243636981896206,5.035510627367122e-181,0.15120628010941786,True
T47D,E2F1,SKP2,up,0.35257438627102555,0.35257438627102555,0.0,0.15120628010941786,True
T47D,E2F1,CDC25C,up,0.27826762129201704,0.27826762129201704,0.0,0.15120628010941786,True
T47D,E2F1,KIF15,up,0.2779047715551623,0.2779047715551623,0.0,0.15120628010941786,True
T47D,E2F1,NCAPH,up,0.2797357388542909,0.2797357388542909,0.0,0.15120628010941786,True
T47D,E2F1,DHTKD1,up,0.1050486221490082,0.1050486221490082,1.86484860779699e-129,0.15120628010941786,True
T47D,E2F1,NUF2,up,0.1709738966536547,0.1709738966536547,0.0,0.15120628010941786,True
T47D,E2F1,ESPL1,up,0.23746509185662362,0.23746509185662362,0.0,0.15120628010941786,True
T47D,E2F1,KIF14,up,0.14016223768441405,0.14016223768441405,7.419779766467527e-230,0.15120628010941786,True
T47D,E2F1,CIT,up,0.179534298101115,0.179534298101115,0.0,0.15120628010941786,True
T47D,E2F1,SPC25,up,0.29899830360712193,0.29899830360712193,0.0,0.15120628010941786,True
T47D,E2F1,PLK1,up,0.1154079238140082,0.1154079238140082,5.227210168841971e-156,0.15120628010941786,True
T47D,E2F1,RADIL,up,0.1810747356882151,0.1810747356882151,0.0,0.15120628010941786,True
T47D,E2F1,PBK,up,0.1195323831608817,0.1195323831608817,2.7269044122387758e-167,0.15120628010941786,True
T47D,E2F1,MELK,up,0.28366497422579295,0.28366497422579295,0.0,0.15120628010941786,True
T47D,E2F1,NEIL3,up,0.36591641676424763,0.36591641676424763,0.0,0.15120628010941786,True
T47D,E2F1,KNL1,up,0.19397625849935982,0.19397625849935982,0.0,0.15120628010941786,True
T47D,E2F1,AL662884.3,up,0.3076776929320372,0.3076776929320372,0.0,0.15120628010941786,True
T47D,E2F1,RIBC2,up,0.27263832887305484,0.27263832887305484,0.0,0.15120628010941786,True
T47D,E2F1,SPC24,up,0.3051961892619693,0.3051961892619693,0.0,0.15120628010941786,True
T47D,E2F1,MT1X,up,0.31252659287846635,0.31252659287846635,0.0,0.15120628010941786,True
T47D,E2F1,TROAP,up,0.16428467478325917,0.16428467478325917,0.0,0.15120628010941786,True
T47D,E2F1,LMNB1,up,0.13764804359417906,0.13764804359417906,1.1102113196498645e-221,0.15120628010941786,True
T47D,E2F1,ARHGEF39,up,0.2694160314826297,0.2694160314826297,0.0,0.15120628010941786,True
T47D,E2F1,SLC18B1,up,0.3384011530867912,0.3384011530867912,0.0,0.15120628010941786,True
T47D,E2F1,RRM2,up,0.23755472796308585,0.23755472796308585,0.0,0.15120628010941786,True
T47D,E2F1,NMU,up,0.26388011979500053,0.26388011979500053,0.0,0.15120628010941786,True
T47D,E2F1,MND1,up,0.2866071969793505,0.2866071969793505,0.0,0.15120628010941786,True
T47D,E2F1,KIF2C,up,0.21577068640007455,0.21577068640007455,0.0,0.15120628010941786,True
T47D,E2F1,KIF18B,up,0.32540081335762994,0.32540081335762994,0.0,0.15120628010941786,True
T47D,E2F1,PIMREG,up,0.22211401671304593,0.22211401671304593,0.0,0.15120628010941786,True
T47D,E2F1,BCYRN1,up,0.1669771115044288,0.1669771115044288,0.0,0.15120628010941786,True
T47D,E2F1,AC026401.3,up,0.3211475649880087,0.3211475649880087,0.0,0.15120628010941786,True
T47D,E2F1,KIF11,up,0.18838188507576298,0.18838188507576298,0.0,0.15120628010941786,True
T47D,E2F1,CCDC28B,up,0.3036107889442101,0.3036107889442101,0.0,0.15120628010941786,True
T47D,E2F1,FAM72D,up,0.2993673309676211,0.2993673309676211,0.0,0.15120628010941786,True
T47D,E2F1,MPP2,up,0.21799108132713477,0.21799108132713477,0.0,0.15120628010941786,True
T47D,E2F1,BIRC5,up,0.10672739339104197,0.10672739339104197,1.3824320278236506e-133,0.15120628010941786,True
T47D,E2F1,WDR76,up,0.43644561546097493,0.43644561546097493,0.0,0.15120628010941786,True
T47D,E2F1,GPR37L1,up,0.31207469586058784,0.31207469586058784,0.0,0.15120628010941786,True
T47D,E2F1,KIF20A,up,0.1527255907942823,0.1527255907942823,5.1385204907909634e-273,0.15120628010941786,True
T47D,E2F1,MT1F,up,0.24753294785115815,0.24753294785115815,0.0,0.15120628010941786,True
T47D,E2F1,TIFA,up,0.3611422003847101,0.3611422003847101,0.0,0.15120628010941786,True
T47D,E2F1,GAS2L3,up,0.14562026896321045,0.14562026896321045,3.926552796313715e-248,0.15120628010941786,True
T47D,E2F1,CDC20,up,0.10476901568494498,0.10476901568494498,8.954270543581263e-129,0.15120628010941786,True
T47D,E2F1,FOXM1,up,0.25194815035435414,0.25194815035435414,0.0,0.15120628010941786,True
T47D,E2F1,FAM72B,up,0.3617627908043563,0.3617627908043563,0.0,0.15120628010941786,True
T47D,E2F1,PCLAF,up,0.15010545923699872,0.15010545923699872,1.0732306045394096e-263,0.15120628010941786,True
T47D,E2F1,ZWINT,up,0.19157812947572117,0.19157812947572117,0.0,0.15120628010941786,True
T47D,E2F1,GINS1,up,0.2676776920228352,0.2676776920228352,0.0,0.15120628010941786,True
T47D,E2F1,UBE2C,up,0.11778467942700552,0.11778467942700552,1.8457140509827437e-162,0.15120628010941786,True
T47D,E2F1,NCF2,down,-0.17214988649232446,0.17214988649232446,0.0,0.15120628010941786,True
T47D,E2F1,ANKRD1,down,-0.29735698286813006,0.29735698286813006,0.0,0.15120628010941786,True
T47D,E2F1,KLK5,down,-0.376084043642225,0.376084043642225,0.0,0.15120628010941786,True
T47D,E2F1,IVL,down,-0.2141907631232624,0.2141907631232624,0.0,0.15120628010941786,True
T47D,E2F1,XAF1,down,-0.10244216147969194,0.10244216147969194,3.554065281797139e-123,0.15120628010941786,True
T47D,E2F1,DAPP1,down,-0.24225330504748765,0.24225330504748765,0.0,0.15120628010941786,True
T47D,E2F1,CAPN8,down,-0.2792877438897014,0.2792877438897014,0.0,0.15120628010941786,True
T47D,E2F1,IFIT3,down,-0.1274814371218404,0.1274814371218404,3.485127376107693e-190,0.15120628010941786,True
T47D,E2F1,TGFB2,down,-0.23789783393777775,0.23789783393777775,0.0,0.15120628010941786,True
T47D,E2F1,FLRT3,down,-0.28435955314401234,0.28435955314401234,0.0,0.15120628010941786,True
T47D,E2F1,IFIT2,down,-0.20394132836991385,0.20394132836991385,0.0,0.15120628010941786,True
T47D,E2F1,ANXA1,down,-0.31404526491879,0.31404526491879,0.0,0.15120628010941786,True
T47D,E2F1,TNFSF15,down,-0.21247354889348985,0.21247354889348985,0.0,0.15120628010941786,True
T47D,E2F1,NRP1,down,-0.28996106492547313,0.28996106492547313,0.0,0.15120628010941786,True
T47D,E2F1,UPK2,down,-0.28526556632981115,0.28526556632981115,0.0,0.15120628010941786,True
T47D,E2F1,TMEM140,down,-0.28171365120828973,0.28171365120828973,0.0,0.15120628010941786,True
T47D,E2F1,HOPX,down,-0.2515102804111791,0.2515102804111791,0.0,0.15120628010941786,True
T47D,E2F1,CDK6,down,-0.33374754743310947,0.33374754743310947,0.0,0.15120628010941786,True
T47D,E2F1,LAMC2,down,-0.22120347840720841,0.22120347840720841,0.0,0.15120628010941786,True
T47D,E2F1,ATP13A4,down,-0.30244300980658884,0.30244300980658884,0.0,0.15120628010941786,True
T47D,E2F1,FYB2,down,-0.1857136629415195,0.1857136629415195,0.0,0.15120628010941786,True
T47D,E2F1,EPAS1,down,-0.13372282580210362,0.13372282580210362,3.1766982608251303e-209,0.15120628010941786,True
T47D,E2F1,NTN4,down,-0.3632815698129967,0.3632815698129967,0.0,0.15120628010941786,True
T47D,E2F1,DDX60,down,-0.18792277229647406,0.18792277229647406,0.0,0.15120628010941786,True
T47D,E2F1,GPR87,down,-0.23480244416365173,0.23480244416365173,0.0,0.15120628010941786,True
T47D,E2F1,EGLN3,down,-0.29792258337976063,0.29792258337976063,0.0,0.15120628010941786,True
T47D,E2F1,CYP1A1,down,-0.2117442338477864,0.2117442338477864,0.0,0.15120628010941786,True
T47D,E2F1,PRSS23,down,-0.3001716294221997,0.3001716294221997,0.0,0.15120628010941786,True
T47D,E2F1,GBP2,down,-0.22840971586866962,0.22840971586866962,0.0,0.15120628010941786,True
T47D,E2F1,MAP1B,down,-0.3273674018064407,0.3273674018064407,0.0,0.15120628010941786,True
T47D,E2F1,SYBU,down,-0.20597932612595257,0.20597932612595257,0.0,0.15120628010941786,True
T47D,E2F1,KMO,down,-0.22018599793767762,0.22018599793767762,0.0,0.15120628010941786,True
T47D,E2F1,TSPAN1,down,-0.11737820845952358,0.11737820845952358,2.3941688878847644e-161,0.15120628010941786,True
T47D,E2F1,SYTL2,down,-0.2124932235958145,0.2124932235958145,0.0,0.15120628010941786,True
T47D,E2F1,LRRN1,down,-0.14359684374961953,0.14359684374961953,2.8457829909371204e-241,0.15120628010941786,True
T47D,E2F1,PSCA,down,-0.2529923743092783,0.2529923743092783,0.0,0.15120628010941786,True
T47D,E2F1,ANXA3,down,-0.161194172575503,0.161194172575503,2.7004900672942856e-304,0.15120628010941786,True
T47D,E2F1,COL21A1,down,-0.32301837798458016,0.32301837798458016,0.0,0.15120628010941786,True
T47D,E2F1,SLC6A14,down,-0.24913442112844003,0.24913442112844003,0.0,0.15120628010941786,True
T47D,E2F1,DUSP10,down,-0.26243556871252594,0.26243556871252594,0.0,0.15120628010941786,True
T47D,E2F1,MACC1,down,-0.1422025520659407,0.1422025520659407,1.3282541668428756e-236,0.15120628010941786,True
T47D,E2F1,C15orf48,down,-0.38478828508212026,0.38478828508212026,0.0,0.15120628010941786,True
T47D,E2F1,CDKN2B,down,-0.23214963904193528,0.23214963904193528,0.0,0.15120628010941786,True
T47D,E2F1,COL5A1,down,-0.404587008652488,0.404587008652488,0.0,0.15120628010941786,True
T47D,E2F1,KIF5C,down,-0.3957570182119886,0.3957570182119886,0.0,0.15120628010941786,True
T47D,E2F1,S100A9,down,-0.1425476147941416,0.1425476147941416,9.379434785357195e-238,0.15120628010941786,True
T47D,E2F1,MAF,down,-0.3050641875923972,0.3050641875923972,0.0,0.15120628010941786,True
T47D,E2F1,LAMB3,down,-0.27381148190391624,0.27381148190391624,0.0,0.15120628010941786,True
T47D,E2F1,PGM2L1,down,-0.27790243723287356,0.27790243723287356,0.0,0.15120628010941786,True
T47D,E2F1,TUBA4A,down,-0.23590402195405846,0.23590402195405846,0.0,0.15120628010941786,True
T47D,E2F1,ALDH1A3,down,-0.269135151516742,0.269135151516742,0.0,0.15120628010941786,True
T47D,E2F1,AC133540.1,down,-0.19412280826370437,0.19412280826370437,0.0,0.15120628010941786,True
T47D,E2F1,RTL5,down,-0.24939086988843603,0.24939086988843603,0.0,0.15120628010941786,True
T47D,E2F1,LIMCH1,down,-0.12529080846584234,0.12529080846584234,1.0060435420672002e-183,0.15120628010941786,True
T47D,E2F1,ABCC3,down,-0.23438120422074132,0.23438120422074132,0.0,0.15120628010941786,True
T47D,E2F1,ENC1,down,-0.15536308211504696,0.15536308211504696,1.4413516471545019e-282,0.15120628010941786,True
T47D,E2F1,FAM198B-AS1,down,-0.19037871340286786,0.19037871340286786,0.0,0.15120628010941786,True
T47D,E2F1,PHLDB2,down,-0.2672863080487207,0.2672863080487207,0.0,0.15120628010941786,True
T47D,E2F1,PURPL,down,-0.2864184431806417,0.2864184431806417,0.0,0.15120628010941786,True
