gene,direction,cell_lines_supported,mean_log2_fold_change,minimum_adjusted_p_value,absolute_mean_log2_fold_change,comparison,required_cell_lines
GPR37L1,up,2,1.541253325,6.6056055128651534e-37,1.541253325,REPOP_vs_TIS,2
HMMR,up,2,1.54016015,0.0,1.54016015,REPOP_vs_TIS,2
KIF20A,up,2,1.5382022,1.9153078508756488e-216,1.5382022,REPOP_vs_TIS,2
MT1F,up,2,1.5332373499999998,2.792033670096427e-24,1.5332373499999998,REPOP_vs_TIS,2
TIFA,up,2,1.52964715,3.925577192688175e-73,1.52964715,REPOP_vs_TIS,2
GAS2L3,up,2,1.52567625,2.5016315536110436e-210,1.52567625,REPOP_vs_TIS,2
CDC20,up,2,1.5251654499999998,5.3962999842146456e-285,1.5251654499999998,REPOP_vs_TIS,2
FOXM1,up,2,1.519883175,0.0,1.519883175,REPOP_vs_TIS,2
FAM72B,up,2,1.51028695,3.2802329258336974e-05,1.51028695,REPOP_vs_TIS,2
PCLAF,up,2,1.50793125,0.0,1.50793125,REPOP_vs_TIS,2
ZWINT,up,2,1.50672185,0.0,1.50672185,REPOP_vs_TIS,2
GINS1,up,2,1.5035946500000001,0.0,1.5035946500000001,REPOP_vs_TIS,2
UBE2C,up,2,1.50154618,1.8022000483883815e-286,1.50154618,REPOP_vs_TIS,2
NCF2,down,2,-13.617767950000001,1.202775933199563e-57,13.617767950000001,REPOP_vs_TIS,2
ANKRD1,down,2,-6.20144845,6.370503804920313e-129,6.20144845,REPOP_vs_TIS,2
KLK5,down,2,-6.14873175,0.0001035020587489,6.14873175,REPOP_vs_TIS,2
IVL,down,2,-5.61945115,4.085456878174933e-127,5.61945115,REPOP_vs_TIS,2
IFI27,down,2,-5.1659925,0.0,5.1659925,REPOP_vs_TIS,2
XAF1,down,2,-5.11294975,0.0,5.11294975,REPOP_vs_TIS,2
DAPP1,down,2,-5.0811597,1.862719333188778e-09,5.0811597,REPOP_vs_TIS,2
CAPN8,down,2,-4.86461615,1.909014240898728e-29,4.86461615,REPOP_vs_TIS,2
IFIT1,down,2,-4.8608133,0.0,4.8608133,REPOP_vs_TIS,2
IFIT3,down,2,-4.8538774,0.0,4.8538774,REPOP_vs_TIS,2
IFI6,down,2,-4.787615499999999,0.0,4.787615499999999,REPOP_vs_TIS,2
TGFB2,down,2,-4.5394821,1.0077758790502132e-113,4.5394821,REPOP_vs_TIS,2
FLRT3,down,2,-4.51123265,3.1679451220319205e-15,4.51123265,REPOP_vs_TIS,2
IFIT2,down,2,-4.479813500000001,1.0044279381486743e-214,4.479813500000001,REPOP_vs_TIS,2
ANXA1,down,2,-4.46990205,1.4770191049096195e-121,4.46990205,REPOP_vs_TIS,2
TNFSF15,down,2,-4.4051937,6.820985654807417e-11,4.4051937,REPOP_vs_TIS,2
NRP1,down,2,-4.16415515,0.0,4.16415515,REPOP_vs_TIS,2
OAS1,down,2,-4.03806805,0.0,4.03806805,REPOP_vs_TIS,2
UPK2,down,2,-3.9700935,2.116118517886001e-143,3.9700935,REPOP_vs_TIS,2
ISG15,down,2,-3.9140354,0.0,3.9140354,REPOP_vs_TIS,2
TMEM140,down,2,-3.83512575,3.373213052147851e-20,3.83512575,REPOP_vs_TIS,2
SAMD9,down,2,-3.7998672,0.0,3.7998672,REPOP_vs_TIS,2
