perturbation_rank,model_name,target,intervention,association_sign,direction_evidence,priority_score,evidence_source_count,affected_pathway_count,affected_pathways,mean_baseline_escape_probability,mean_perturbed_escape_probability,mean_delta_escape_probability,mean_predicted_escape_reduction,median_predicted_escape_reduction,maximum_predicted_escape_reduction,cells_with_reduced_escape_probability,fraction_cells_with_reduced_escape_probability,perturbation_strength,confidence_score,intervention_score,predicted_effect
34,rap_plus_pathways,IFI27,activate,-1.0,differential_expression_effect,0.6117934528541784,3.0,3,Interferon Alpha Response;Interferon Alpha/Beta Signaling R-HSA-909733;Interferon Gamma Response,0.40940627470332364,0.5845744202311228,0.1751681455277992,-0.1751681455277992,-0.16612384344826236,-4.268107175271458e-09,0,0.0,1.0,0.7058967264270891,-0.12365062050237739,predicted_worsening
35,rap_plus_pathways,UBE2C,inhibit,1.0,differential_expression_effect,0.6201602651399948,2.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0,0.476746799236664,-0.2629080632595183,predicted_worsening
36,rap_plus_pathways,KNL1,inhibit,1.0,differential_expression_effect,0.6242033036182136,2.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0,0.47876831847577345,-0.2640228556584334,predicted_worsening
37,rap_plus_pathways,AURKB,inhibit,1.0,differential_expression_effect,0.6030594551555394,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0,0.5681963942444364,-0.26598457215131266,predicted_worsening
38,rap_plus_pathways,PBK,inhibit,1.0,differential_expression_effect,0.6421132486951168,2.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0,0.487723291014225,-0.2689611887325014,predicted_worsening
39,rap_plus_pathways,CDC20,inhibit,1.0,differential_expression_effect,0.6363605104807625,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0,0.5848469219070479,-0.2737790311117968,predicted_worsening
40,rap_plus_pathways,PLK1,inhibit,1.0,differential_expression_effect,0.6453224467779706,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0,0.5893278900556519,-0.27587666567601293,predicted_worsening
41,rap_plus_pathways,CCNA2,inhibit,1.0,differential_expression_effect,0.6722182796119277,2.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0,0.5027758064726305,-0.2772620891112553,predicted_worsening
42,rap_plus_pathways,KIF11,inhibit,1.0,differential_expression_effect,0.6880991043016356,2.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0,0.5107162188174844,-0.28164093011115304,predicted_worsening
43,rap_plus_pathways,PRC1,inhibit,1.0,differential_expression_effect,0.6915602903572053,2.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0,0.5124468118452693,-0.2825952875645305,predicted_worsening
44,rap_plus_pathways,H2AZ1,inhibit,1.0,differential_expression_effect,0.6153880489342868,3.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0,0.6076940244671434,-0.2844742359052469,predicted_worsening
45,rap_plus_pathways,CKS1B,inhibit,1.0,differential_expression_effect,0.6875863313758503,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0,0.6104598323545918,-0.2857689682109208,predicted_worsening
46,rap_plus_pathways,LMNB1,inhibit,1.0,differential_expression_effect,0.6887235532582613,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0,0.6110284432957973,-0.2860351468411429,predicted_worsening
47,rap_plus_pathways,E2F1,inhibit,1.0,transition_model_effect,0.6874416343554115,3.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0,0.5437208171777057,-0.29984173407551606,predicted_worsening
48,rap_plus_pathways,MKI67,inhibit,1.0,differential_expression_effect,0.6708860019200854,4.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0,0.668776334293376,-0.313068137960449,predicted_worsening
49,rap_plus_pathways,CENPF,inhibit,1.0,differential_expression_effect,0.6703024014578206,4.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0,0.5684845340622436,-0.31349799953056523,predicted_worsening
50,rap_plus_pathways,TOP2A,inhibit,1.0,differential_expression_effect,0.7809166065664604,4.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0,0.7237916366165635,-0.33882194737993115,predicted_worsening
