gene,full_rank,full_priority_score,rank_without_escape_marker,score_without_escape_marker,rank_shift_without_escape_marker,rank_without_trajectory,score_without_trajectory,rank_shift_without_trajectory,rank_without_differential_expression,score_without_differential_expression,rank_shift_without_differential_expression,rank_without_regulatory,score_without_regulatory,rank_shift_without_regulatory,rank_without_transition_model,score_without_transition_model,rank_shift_without_transition_model,rank_without_signature,score_without_signature,rank_shift_without_signature,mean_absolute_rank_shift,maximum_absolute_rank_shift,rank_stability_score
SYT8,91,0.5330204215999202,107,0.5330204215999202,16,95,0.5330204215999202,4,166,1.0,75,96,0.5330204215999202,5,96,0.5330204215999202,5,781,0.2995306323998804,690,132.5,690,0.00749063670411985
CDKN2B,92,0.5323836299612188,108,0.5323836299612188,16,96,0.5323836299612188,4,29,1.0,-63,97,0.5323836299612188,5,97,0.5323836299612188,5,787,0.2985754449418283,695,131.33333333333334,695,0.007556675062972292
FLRT3,93,0.532021672739595,110,0.532021672739595,17,98,0.532021672739595,5,56,1.0,-37,99,0.532021672739595,6,99,0.532021672739595,6,793,0.29803250910939255,700,128.5,700,0.007722007722007722
TNFSF15,94,0.5315067850677012,111,0.5315067850677012,17,99,0.5315067850677012,5,175,1.0,81,100,0.5315067850677012,6,100,0.5315067850677012,6,797,0.2972601776015519,703,136.33333333333334,703,0.007281553398058252
UPK2,95,0.5311901149135538,113,0.5311901149135538,18,101,0.5311901149135538,6,180,1.0,85,102,0.5311901149135538,7,102,0.5311901149135538,7,801,0.2967851723703309,706,138.16666666666666,706,0.007185628742514971
MND1,96,0.5297731859854646,116,0.5297731859854646,20,103,0.5297731859854646,7,105,1.0,9,105,0.5297731859854646,9,104,0.5297731859854646,8,816,0.29465977897819706,720,128.83333333333334,720,0.007702182284980744
IFIT2,97,0.5293537917677061,118,0.5293537917677061,21,105,0.5293537917677061,8,75,1.0,-22,107,0.5293537917677061,10,106,0.5293537917677061,9,818,0.29403068765155926,721,131.83333333333334,721,0.0075282308657465494
DDX58,98,0.527839582701825,124,0.527839582701825,26,110,0.527839582701825,12,39,1.0,-59,112,0.527839582701825,14,111,0.527839582701825,13,828,0.29175937405273755,730,142.33333333333334,730,0.0069767441860465115
TIFA,99,0.5267558669859519,130,0.5267558669859519,31,115,0.5267558669859519,16,169,1.0,70,117,0.5267558669859519,18,116,0.5267558669859519,17,838,0.29013380047892795,739,148.5,739,0.006688963210702341
FYB2,100,0.5256585230567278,134,0.5256585230567278,34,119,0.5256585230567278,19,58,1.0,-42,121,0.5256585230567278,21,120,0.5256585230567278,20,850,0.2884877845850918,750,147.66666666666666,750,0.006726457399103139
