rank,gene,priority_score,evidence_source_count,escape_marker_score,trajectory_score,differential_expression_score,regulatory_score,transition_model_score,signature_score,has_escape_marker,has_trajectory,has_differential_expression,has_regulatory,has_transition_model,has_signature
85,CRABP1,0.5357556568115472,2,,,0.3036334852173209,,,1.0,False,False,True,False,False,True
86,TGFB2,0.534565094282873,2,,,0.30184764142430953,,,1.0,False,False,True,False,False,True
87,CDK6,0.5340939905802543,2,,,0.3011409858703815,,,1.0,False,False,True,False,False,True
88,PIF1,0.5338589408739342,2,,,0.30078841131090134,,,1.0,False,False,True,False,False,True
89,GPNMB,0.533815367000596,2,,,0.300723050500894,,,1.0,False,False,True,False,False,True
90,IFIT3,0.5336022712443976,2,,,0.30040340686659656,,,1.0,False,False,True,False,False,True
91,SYT8,0.5330204215999202,2,,,0.2995306323998804,,,1.0,False,False,True,False,False,True
92,CDKN2B,0.5323836299612188,2,,,0.2985754449418283,,,1.0,False,False,True,False,False,True
93,FLRT3,0.532021672739595,2,,,0.29803250910939255,,,1.0,False,False,True,False,False,True
94,TNFSF15,0.5315067850677012,2,,,0.2972601776015519,,,1.0,False,False,True,False,False,True
95,UPK2,0.5311901149135538,2,,,0.2967851723703309,,,1.0,False,False,True,False,False,True
96,MND1,0.5297731859854646,2,,,0.29465977897819706,,,1.0,False,False,True,False,False,True
97,IFIT2,0.5293537917677061,2,,,0.29403068765155926,,,1.0,False,False,True,False,False,True
98,DDX58,0.527839582701825,2,,,0.29175937405273755,,,1.0,False,False,True,False,False,True
99,TIFA,0.5267558669859519,2,,,0.29013380047892795,,,1.0,False,False,True,False,False,True
100,FYB2,0.5256585230567278,2,,,0.2884877845850918,,,1.0,False,False,True,False,False,True
