perturbation_rank,model_name,target,intervention,association_sign,direction_evidence,priority_score,evidence_source_count,affected_pathway_count,affected_pathways,mean_baseline_escape_probability,mean_perturbed_escape_probability,mean_delta_escape_probability,mean_predicted_escape_reduction,median_predicted_escape_reduction,maximum_predicted_escape_reduction,cells_with_reduced_escape_probability,fraction_cells_with_reduced_escape_probability,perturbation_strength,confidence_score,intervention_score,predicted_effect,rap_effect_fraction
34,rap_plus_pathways,IFI27,activate,-1.0,differential_expression_effect,0.6117934528541784,3.0,3,Interferon Alpha Response;Interferon Alpha/Beta Signaling R-HSA-909733;Interferon Gamma Response,0.40940627470332364,0.4722366476474381,0.06283037294411453,-0.06283037294411453,-0.061306569237273345,-7.915803424378625e-10,0,0.0,0.25,0.7058967264270891,-0.044351754581443595,predicted_worsening,0.1
35,rap_plus_pathways,AURKB,inhibit,1.0,differential_expression_effect,0.6030594551555394,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.5733842166025132,0.16397794189918952,-0.16397794189918952,-0.1557661587587074,-3.708836470424046e-09,0,0.0,0.25,0.5681963942444364,-0.09317167532274316,predicted_worsening,0.1
36,rap_plus_pathways,CDC20,inhibit,1.0,differential_expression_effect,0.6363605104807625,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.5733842166025132,0.16397794189918952,-0.16397794189918952,-0.1557661587587074,-3.708836470424046e-09,0,0.0,0.25,0.5848469219070479,-0.09590199458039372,predicted_worsening,0.1
37,rap_plus_pathways,PLK1,inhibit,1.0,differential_expression_effect,0.6453224467779706,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.5733842166025132,0.16397794189918952,-0.16397794189918952,-0.1557661587587074,-3.708836470424046e-09,0,0.0,0.25,0.5893278900556519,-0.09663677451511764,predicted_worsening,0.1
38,rap_plus_pathways,H2AZ1,inhibit,1.0,differential_expression_effect,0.6153880489342868,3.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.5733842166025132,0.16397794189918952,-0.16397794189918952,-0.1557661587587074,-3.708836470424046e-09,0,0.0,0.25,0.6076940244671434,-0.09964841543655789,predicted_worsening,0.1
39,rap_plus_pathways,CKS1B,inhibit,1.0,differential_expression_effect,0.6875863313758503,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.5733842166025132,0.16397794189918952,-0.16397794189918952,-0.1557661587587074,-3.708836470424046e-09,0,0.0,0.25,0.6104598323545918,-0.10010194692163023,predicted_worsening,0.1
40,rap_plus_pathways,LMNB1,inhibit,1.0,differential_expression_effect,0.6887235532582613,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.5733842166025132,0.16397794189918952,-0.16397794189918952,-0.1557661587587074,-3.708836470424046e-09,0,0.0,0.25,0.6110284432957973,-0.10019518657351047,predicted_worsening,0.1
41,rap_plus_pathways,UBE2C,inhibit,1.0,differential_expression_effect,0.6201602651399948,2.0,1,G2-M Checkpoint,0.40940627470332364,0.6280939205604636,0.21868764585713998,-0.21868764585713998,-0.20728917667441765,-7.257679764618841e-09,0,0.0,0.25,0.476746799236664,-0.1042586351949926,predicted_worsening,0.1
42,rap_plus_pathways,KNL1,inhibit,1.0,differential_expression_effect,0.6242033036182136,2.0,1,G2-M Checkpoint,0.40940627470332364,0.6280939205604636,0.21868764585713998,-0.21868764585713998,-0.20728917667441765,-7.257679764618841e-09,0,0.0,0.25,0.47876831847577345,-0.10470071647844835,predicted_worsening,0.1
43,rap_plus_pathways,PBK,inhibit,1.0,differential_expression_effect,0.6421132486951168,2.0,1,G2-M Checkpoint,0.40940627470332364,0.6280939205604636,0.21868764585713998,-0.21868764585713998,-0.20728917667441765,-7.257679764618841e-09,0,0.0,0.25,0.487723291014225,-0.10665905834159767,predicted_worsening,0.1
44,rap_plus_pathways,MKI67,inhibit,1.0,differential_expression_effect,0.6708860019200854,4.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.5733842166025132,0.16397794189918952,-0.16397794189918952,-0.1557661587587074,-3.708836470424046e-09,0,0.0,0.25,0.668776334293376,-0.10966456688831216,predicted_worsening,0.1
45,rap_plus_pathways,CCNA2,inhibit,1.0,differential_expression_effect,0.6722182796119277,2.0,1,G2-M Checkpoint,0.40940627470332364,0.6280939205604636,0.21868764585713998,-0.21868764585713998,-0.20728917667441765,-7.257679764618841e-09,0,0.0,0.25,0.5027758064726305,-0.10995085751142458,predicted_worsening,0.1
46,rap_plus_pathways,KIF11,inhibit,1.0,differential_expression_effect,0.6880991043016356,2.0,1,G2-M Checkpoint,0.40940627470332364,0.6280939205604636,0.21868764585713998,-0.21868764585713998,-0.20728917667441765,-7.257679764618841e-09,0,0.0,0.25,0.5107162188174844,-0.11168732759425565,predicted_worsening,0.1
47,rap_plus_pathways,PRC1,inhibit,1.0,differential_expression_effect,0.6915602903572053,2.0,1,G2-M Checkpoint,0.40940627470332364,0.6280939205604636,0.21868764585713998,-0.21868764585713998,-0.20728917667441765,-7.257679764618841e-09,0,0.0,0.25,0.5124468118452693,-0.1120657869094387,predicted_worsening,0.1
48,rap_plus_pathways,TOP2A,inhibit,1.0,differential_expression_effect,0.7809166065664604,4.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.5733842166025132,0.16397794189918952,-0.16397794189918952,-0.1557661587587074,-3.708836470424046e-09,0,0.0,0.25,0.7237916366165635,-0.11868586293623015,predicted_worsening,0.1
49,rap_plus_pathways,E2F1,inhibit,1.0,transition_model_effect,0.6874416343554115,3.0,1,G2-M Checkpoint,0.40940627470332364,0.6280939205604636,0.21868764585713998,-0.21868764585713998,-0.20728917667441765,-7.257679764618841e-09,0,0.0,0.25,0.5437208171777057,-0.11890502551211286,predicted_worsening,0.1
50,rap_plus_pathways,CENPF,inhibit,1.0,differential_expression_effect,0.6703024014578206,4.0,1,G2-M Checkpoint,0.40940627470332364,0.6280939205604636,0.21868764585713998,-0.21868764585713998,-0.20728917667441765,-7.257679764618841e-09,0,0.0,0.25,0.5684845340622436,-0.12432054446026516,predicted_worsening,0.1
1,rap_plus_pathways,HMGB2,inhibit,1.0,differential_expression_effect,0.7573902312818401,3.0,1,E2F Targets,0.40940627470332364,0.31256175866788,-0.09684451603544363,0.09684451603544363,0.1028583598741965,0.18962384149915978,79508,1.0,0.25,0.57869511564092,0.05604344840631998,predicted_suppression,0.25
2,rap_plus_pathways,RRM2,inhibit,1.0,differential_expression_effect,0.6884224623231245,2.0,1,E2F Targets,0.40940627470332364,0.31256175866788,-0.09684451603544363,0.09684451603544363,0.1028583598741965,0.18962384149915978,79508,1.0,0.25,0.5108778978282289,0.049475722768379644,predicted_suppression,0.25
3,rap_plus_pathways,GINS1,inhibit,1.0,differential_expression_effect,0.6352045905748,2.0,1,E2F Targets,0.40940627470332364,0.31256175866788,-0.09684451603544363,0.09684451603544363,0.1028583598741965,0.18962384149915978,79508,1.0,0.25,0.48426896195406666,0.04689879325142825,predicted_suppression,0.25
4,rap_plus_pathways,MELK,inhibit,1.0,differential_expression_effect,0.5980906638233262,2.0,1,E2F Targets,0.40940627470332364,0.31256175866788,-0.09684451603544363,0.09684451603544363,0.1028583598741965,0.18962384149915978,79508,1.0,0.25,0.46571199857832973,0.04510165311421755,predicted_suppression,0.25
5,rap_plus_pathways,KRT80,activate,-1.0,differential_expression_effect,0.6995790414627282,2.0,1,Keratinization R-HSA-6805567,0.40940627470332364,0.3720258069735976,-0.03738046772972602,0.03738046772972602,0.03824783579195029,0.07426328987624853,79508,1.0,0.25,0.5164561873980308,0.019305373846849425,predicted_suppression,0.25
