model_name,target,intervention,association_sign,direction_evidence,priority_score,evidence_source_count,affected_pathway_count,affected_pathways,mean_baseline_escape_probability,mean_perturbed_escape_probability,mean_delta_escape_probability,mean_predicted_escape_reduction,median_predicted_escape_reduction,maximum_predicted_escape_reduction,cells_with_reduced_escape_probability,fraction_cells_with_reduced_escape_probability,perturbation_strength
rap_plus_pathways,CDC20,inhibit,1.0,differential_expression_effect,0.6363605104807625,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0
rap_plus_pathways,GINS1,inhibit,1.0,differential_expression_effect,0.6352045905748,2.0,1,E2F Targets,0.40940627470332364,0.08448950061729187,-0.3249167740860317,0.3249167740860317,0.36251540172866137,0.6456412578714368,79508,1.0,1.0
rap_plus_pathways,NCAPH,inhibit,1.0,differential_expression_effect,0.6304158464734002,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,RND1,activate,-1.0,differential_expression_effect,0.625772321910648,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,KNL1,inhibit,1.0,differential_expression_effect,0.6242033036182136,2.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0
rap_plus_pathways,UBE2C,inhibit,1.0,differential_expression_effect,0.6201602651399948,2.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0
rap_plus_pathways,IVL,activate,-1.0,differential_expression_effect,0.6192567491510668,2.0,1,Keratinization R-HSA-6805567,0.40940627470332364,0.26042179674815136,-0.1489844779551722,0.1489844779551722,0.16305950486177206,0.289115722265103,79508,1.0,1.0
rap_plus_pathways,H2AZ1,inhibit,1.0,differential_expression_effect,0.6153880489342868,3.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0
rap_plus_pathways,IFI27,activate,-1.0,differential_expression_effect,0.6117934528541784,3.0,3,Interferon Alpha Response;Interferon Alpha/Beta Signaling R-HSA-909733;Interferon Gamma Response,0.40940627470332364,0.5845744202311228,0.1751681455277992,-0.1751681455277992,-0.16612384344826236,-4.268107175271458e-09,0,0.0,1.0
rap_plus_pathways,KIF20A,inhibit,1.0,differential_expression_effect,0.6085210341331331,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,SYTL2,activate,-1.0,differential_expression_effect,0.607813155021956,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,GPRC5A,activate,-1.0,differential_expression_effect,0.6065401780514027,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,ANXA1,activate,-1.0,differential_expression_effect,0.6065387251303759,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,GAS2L3,inhibit,1.0,differential_expression_effect,0.6053413605080713,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,AURKB,inhibit,1.0,differential_expression_effect,0.6030594551555394,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0
rap_plus_pathways,MELK,inhibit,1.0,differential_expression_effect,0.5980906638233262,2.0,1,E2F Targets,0.40940627470332364,0.08448950061729187,-0.3249167740860317,0.3249167740860317,0.36251540172866137,0.6456412578714368,79508,1.0,1.0
rap_plus_pathways,MACC1,activate,-1.0,differential_expression_effect,0.5963635313460357,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
