cell_line,gene,escape_prone_mean,stable_tis_mean,log_fold_change,absolute_log_fold_change,mann_whitney_statistic,p_value,adjusted_p_value,direction
MCF7,CCN1,1.0368300676345825,1.528818964958191,-0.4919888973236084,0.4919888973236084,3581729.5,0.0,0.0,lower_in_escape_prone
MCF7,COX6C,3.029353618621826,2.551006317138672,0.4783473014831543,0.4783473014831543,7539034.5,0.0,0.0,higher_in_escape_prone
MCF7,SAT1,0.8228607773780823,1.2993688583374023,-0.47650808095932007,0.47650808095932007,3593500.0,0.0,0.0,lower_in_escape_prone
MCF7,ATF3,0.49142229557037354,0.9543826580047607,-0.4629603624343872,0.4629603624343872,3480094.0,0.0,0.0,lower_in_escape_prone
MCF7,BTG1,1.0329450368881226,1.4916244745254517,-0.4586794376373291,0.4586794376373291,3529470.0,0.0,0.0,lower_in_escape_prone
MCF7,TUBA1B,2.3886983394622803,1.9371458292007446,0.45155251026153564,0.45155251026153564,6984945.5,0.0,0.0,higher_in_escape_prone
MCF7,TPX2,0.7954819202423096,0.3555048704147339,0.4399770498275757,0.4399770498275757,6759029.0,0.0,0.0,higher_in_escape_prone
MCF7,SKIL,0.9147273302078247,1.3545840978622437,-0.43985676765441895,0.43985676765441895,3374598.0,0.0,0.0,lower_in_escape_prone
MCF7,TUBA1A,0.6790165305137634,1.1121388673782349,-0.43312233686447144,0.43312233686447144,3664036.0,0.0,0.0,lower_in_escape_prone
MCF7,ZDHHC7,0.6017360091209412,1.030031442642212,-0.42829543352127075,0.42829543352127075,3381864.0,0.0,0.0,lower_in_escape_prone
MCF7,PAWR,1.127879023551941,1.5556498765945435,-0.42777085304260254,0.42777085304260254,3328543.0,0.0,0.0,lower_in_escape_prone
MCF7,JUNB,1.0986955165863037,1.5220024585723877,-0.423306941986084,0.423306941986084,3591482.0,0.0,0.0,lower_in_escape_prone
MCF7,MYH9,0.9123777747154236,1.327789068222046,-0.4154112935066223,0.4154112935066223,3459287.0,0.0,0.0,lower_in_escape_prone
MCF7,TNFRSF12A,1.213436245918274,1.625673770904541,-0.4122375249862671,0.4122375249862671,3334350.5,0.0,0.0,lower_in_escape_prone
MCF7,ENC1,0.3798607587814331,0.7915908098220825,-0.4117300510406494,0.4117300510406494,3521932.5,0.0,0.0,lower_in_escape_prone
MCF7,CENPF,0.673957347869873,0.2631514370441437,0.41080591082572937,0.41080591082572937,6743611.5,0.0,0.0,higher_in_escape_prone
MCF7,CAV1,0.30445921421051025,0.7136889100074768,-0.40922969579696655,0.40922969579696655,4063466.5,0.0,0.0,lower_in_escape_prone
