rank,gene,priority_score,evidence_source_count,evidence_sources,escape_marker_effect,escape_marker_direction,trajectory_correlation,trajectory_direction,differential_expression_effect,de_direction,de_cell_lines_supported,regulatory_effect,transition_model_effect,transition_model_direction,signature_direction
81,LIMCH1,0.5388189482610186,2,differential_expression;signature,,,,,-2.556257,lower_in_repop,2.0,,,,down
82,PARP9,0.5380740965367825,2,differential_expression;signature,,,,,-2.3282875499999998,lower_in_repop,2.0,,,,down
83,XAF1,0.5364848431247585,2,differential_expression;signature,,,,,-5.11294975,lower_in_repop,2.0,,,,down
84,DAPP1,0.5364653332943246,2,differential_expression;signature,,,,,-5.0811597,lower_in_repop,2.0,,,,down
85,CRABP1,0.5357556568115472,2,differential_expression;signature,,,,,1.8960902000000002,higher_in_repop,2.0,,,,up
86,TGFB2,0.534565094282873,2,differential_expression;signature,,,,,-4.5394821,lower_in_repop,2.0,,,,down
87,CDK6,0.5340939905802543,2,differential_expression;signature,,,,,-3.72871015,lower_in_repop,2.0,,,,down
88,PIF1,0.5338589408739342,2,differential_expression;signature,,,,,1.9719038,higher_in_repop,2.0,,,,up
89,GPNMB,0.533815367000596,2,differential_expression;signature,,,,,-2.9013776,lower_in_repop,2.0,,,,down
90,IFIT3,0.5336022712443976,2,differential_expression;signature,,,,,-4.8538774,lower_in_repop,2.0,,,,down
91,SYT8,0.5330204215999202,2,differential_expression;signature,,,,,-2.3115324,lower_in_repop,2.0,,,,down
92,CDKN2B,0.5323836299612188,2,differential_expression;signature,,,,,-2.8015751,lower_in_repop,2.0,,,,down
93,FLRT3,0.532021672739595,2,differential_expression;signature,,,,,-4.51123265,lower_in_repop,2.0,,,,down
94,TNFSF15,0.5315067850677012,2,differential_expression;signature,,,,,-4.4051937,lower_in_repop,2.0,,,,down
95,UPK2,0.5311901149135538,2,differential_expression;signature,,,,,-3.9700935,lower_in_repop,2.0,,,,down
96,MND1,0.5297731859854646,2,differential_expression;signature,,,,,1.60509115,higher_in_repop,2.0,,,,up
97,IFIT2,0.5293537917677061,2,differential_expression;signature,,,,,-4.479813500000001,lower_in_repop,2.0,,,,down
98,DDX58,0.527839582701825,2,differential_expression;signature,,,,,-2.45265515,lower_in_repop,2.0,,,,down
99,TIFA,0.5267558669859519,2,differential_expression;signature,,,,,1.52964715,higher_in_repop,2.0,,,,up
100,FYB2,0.5256585230567278,2,differential_expression;signature,,,,,-3.63270985,lower_in_repop,2.0,,,,down
